Code,Parent,Name_de
"25701023","72130","Carrossier, dipl. HFP | Carrossière, dipl. HFP"
"25701024","72130","Blechkarosseriebauer | Blechkarosseriebauerin"
"25701025","31220","Carrosseriespengler-Werkleiter, eidg. FA | Carrosseriespenglerin-Werkleiterin, eidg. FA"
"25701027","72130","Autowagner | Autowagnerin"
"25701028","13210","Carrosseriespenglermeister HFP | Carrosseriespenglermeisterin HFP"
"25701029","72320","Flugzeugschlosser | Flugzeugschlosserin"
"25701030","72130","Karosserieschlosser | Karosserieschlosserin"
"25701031","93290","Karosseriegehilfe | Karosseriegehilfin"
"25701032","72130","Carrosseriearbeiter | Carrosseriearbeiterin"
"25701033","31220","Carrosseriechef | Carrosseriechefin"
"25701034","13210","Carrosserieschlossermeister HFP | Carrosserieschlossermeisterin HFP"
"25701035","31220","Carrosseriespengler-Vorarbeiter | Carrosseriespenglerin-Vorarbeiterin"
"25701036","72130","Carrosserie-Handwerker | Carrosserie-Handwerkerin"
"25701037","72130","Carrosserieschlosser | Carrosserieschlosserin"
"25701038","31220","Chef Carrosserie-Schlosser | Chefin Carrosserie-Schlosserin"
"25701039","72130","Carrosserie-Reparateur | Carrosserie-Reparateurin"
"25701040","71154","Ruderschiffbauer | Ruderschiffbauerin"
"25701041","71154","Segelbootbauer | Segelbootbauerin"
"25701042","72310","Leichtmetallbootbauer | Leichtmetallbootbauerin"
"25701043","71154","Bootbauer | Bootbauerin"
"25701044","72310","Motorbootbauer | Motorbootbauerin"
"25701045","71154","Paddelbootbauer | Paddelbootbauerin"
"25701046","71154","Jollenbauer | Jollenbauerin"
"25701047","71154","Schiffbauer | Schiffbauerin"
"25701048","71154","Nachenbauer | Nachenbauerin"
"25701049","71154","Bootskonstrukteur | Bootskonstrukteurin"
"25701050","13232","Schiffsbaumeister | Schiffsbaumeisterin"
"25701051","72130","Karosserieschmied | Karosserieschmiedin"
"25701052","72130","Autokarossier | Autokarossière"
"25701053","72130","Autoblechner | Autoblechnerin"
"25701054","72130","Carrosserie-Monteur | Carrosserie-Monteurin"
"25701055","72130","Carrosseriebauer | Carrosseriebauerin"
"25701056","71154","Schiffsbauer | Schiffsbauerin"
"25701057","72310","Lastkahnbauer | Lastkahnbauerin"
