Occupation,CH-ISCO-19
Substit. d. Gemd.kanzlei,*
Substitut,*
Substitut a. d. Stadtpolizei,*
Substitut auf d. Stadtpol.,*
Tabakfab.,*
Tabakfabr.,*
Tabakfb.,*
Tabakfbr.,*
Tanzl.,*
Tanzlehrer,*
Tap.,*
Tapetenhdl.,*
Tapethdl.,*
Tapez.,*
Tapezier.,*
Tapezierer,*
Taphdl.,*
Tel.- Bureauchef,*
Tel.-Insp.,*
Telegr.,*
Telegr.-Abwart,*
Telegr.-Adj.,*
Telegr.-Direktor,*
Telegr.-Kontrolleur,*
Telegr.-Werkführer,*
Telegraphenläufer,*
Telegraphist,*
Telegrph.-Kontrolleur,*
Telgraphist,*
Theaterkaff.,*
Thierarzt,*
Thierarzt u. Speisewirth,*
Todtengr.,*
Träg. d. Intelligenzblattes,*
Train-Insp.,*
Trödl.,*
Trödler,*
Trödlerin,*
Tuchhändler,*
Tuchhdl.,*
Tuchneg.,*
Tuchnegt.,*
Tuchng.,*
Tuchngt.,*
Uebers.,*
Uhrenfb.,*
Uhrenhdl.,*
Uhrenm.,*
Uhrenmach.,*
Uhrm.,*
Uhrmach.,*
Umbieter,*
Untersuchbeamter in Heimathliach.,*
Unterwbl.,*
Vergold.,*
Vergolder,*
Verw. d. Deposito-Cas.,*
Verwl.,*
Viehh.,*
Viehhdl.,*
Vikar,*
Violinsp.,*
Vorgäng.,*
Vorgängerin,*
Vorsteh. d. Blindenanstalt,*
Waagmeist.,*
Waagmeister,*
Wagenm.,*
Wagn.,*
Wagner,*
Wagnermeister u. Lehenmann,*
Wasch.,*
Wascherin,*
Wattenfabr.,*
Wattenfb.,*
Weber,*
Weberei,*
Wegkn.,*
Wegknecht,*
Wegmstr.,*
Weibel,*
Weinh.,*
Weinhändl.,*
Weinhändler,*
Weinhdl.,*
Weinhl.,*
Weinnegot.,*
Weinnegt.,*
Weinngt.,*
Weißmül.,*
Weißmüll.,*
Weißmüller,*
Weißn.,*
Weißnäh.,*
Werkführer,*
Werkmeist.,*
Werkmeister,*
Werkmstr.,*
Wirth,*
Wirth b. Weyermh.,*
Wirth z. Maulbeerb.,*
Wirthin,*
Wirthsch.,*
Wollen- u. Stickwaarenhandlung,*
Wollenhändler,*
Wollenhl.,*
Wollenspinnerei u. -weberei,*
Wsch.,*
Xylograph,*
Zahnarzt,*
Zchngslhr.,*
Zeichnungslehr.,*
Zeit.-Red.,*
Zeitungsträger.,*
Zeughaus-Verwalt.,*
Zeughausarb.,*
Zeughsarb.,*
Zeugsch.,*
Zeugschm.,*
Zgschm.,*
Zigarrenm.,*
Zimmer-Verm.,*
Zimmerm.,*
Zimmerm. in d. Enge,*
Zimmermann,*
Zimmerverleiherin,*
Zimmrmst.,*
Zing.,*
Zinngießer,*
Zinnwaarenh.,*
Ztgs.-Red. Tiefenau,*
Zuchthausbuchhalter,*
Zuchthpfr.,*
Zuckerb.,*
Zuckerbäck.,*
Zugführ.,*
Zügler,*
Zuricht.,*
Zurichter,*
